spotify_artist_id,artist_name
6eUKZXaKkcviH0Ku9w2n3V,"""Ed Sheeran"""
2NjfBq1NflQcKSeiDooVjY,"""Tones and I"""
246dkjvS1zLTtiykXe5h60,"""Post Malone"""
1Xyo4u8uXC1ZmMpatF05PJ,"""The Weeknd"""
4GNC7GD6oZMSxPGyXy4MNB,"""Lewis Capaldi"""
7n2wHs1TKAczGzO7Dd2rGr,"""Shawn Mendes"""
6qqNVTkY8uBg9cP3Jd7DAH,"""Billie Eilish"""
69GGBxA162lTqCwzJG5jLp,"""The Chainsmokers"""
4IWBUUAFIplrNtaOHcJPRM,"""James Arthur"""
53XhwfbYqKCa1cC15pYq2q,"""Imagine Dragons"""
4MCBfE4596Uoi2O4DtmEMz,"""Juice WRLD"""
3TVXtAsR1Inumwj472S9r4,"""Drake"""
15UsOTVnJzReFVN1VCnxy4,"""XXXTENTACION"""
1HY2Jd0NmPuamShAr6KMms,"""Lady Gaga"""
66CXWjxzNUsdJxJ2JdwvnR,"""Ariana Grande"""
6M2wZ9GZgrQXHCFfjv46we,"""Dua Lipa"""
0Y5tJX1MQlPlqiwlOH1tJY,"""Travis Scott"""
64KEffDW9EtZ1y2vBYgq8T,"""Marshmello"""
4nDoRrQiYLoBzwC5BhVJzF,"""Camila Cabello"""
0H39MdGGX6dbnnQPt6NQkZ,"""SAINt JHN"""
26VFTg2z8YR0cCuwLzESi2,"""Halsey"""
757aE44tKEUQEqRuT6GnEB,"""Roddy Ricch"""
6KImCVD70vtIoJWnq6nGn3,"""Harry Styles"""
04gDigrS5kc9YWfZHwBETP,"""Maroon 5"""
4V8Sr092TqfHkfAA5fXXqG,"""Luis Fonsi"""
4O15NlyKLIASxsJ0PrXPfz,"""Lil Uzi Vert"""
4r63FhuTkUYltbVAg5TQnk,"""DaBaby"""
7jVv8c5Fj3E9VhNjxT4snq,"""Lil Nas X"""
0vRvGUQVUjytro0xpb26bs,"""Arizona Zervas"""
1dfeR4HaWDbWqFHLkxsg1d,"""Queen"""
790FomKkXshlbRYZFtlgla,"""Karol G"""
5y2Xq6xcjJb2jVM54GHK3t,"""John Legend"""
5JZ7CnR6gTvEMKX4g70Amv,"""Lauv"""
2YZyLoL8N0Wb9xBt1NhZWg,"""Kendrick Lamar"""
5Rl15oVamLq7FbSb0NNBNy,"""5 Seconds of Summer"""
7uaIm6Pw7xplS8Dy06V6pT,"""Trevor Daniel"""
5CiGnKThu5ctn9pBxv7DGa,"""benny blanco"""
1uNFoZAHBGtllmzznpCI3s,"""Justin Bieber"""
4npEfmQ6YuiwW1GpUmaq3F,"""Ava Max"""
738wLrAtLtCtFOLvQBXOXp,"""Major Lazer"""
4kYSro6naA4h99UJvo89HB,"""Cardi B"""
3QSQFmccmX81fWCUSPTS7y,"""Dean Lewis"""
540vIaP2JwjQb9dm3aArA4,"""DJ Snake"""
6bmlMHgSheBauioMgKv2tn,"""Powfu"""
2KsP6tYLJlTBvSUxnwlVWa,"""Mike Posner"""
6vXTefBL93Dj5IqAWq6OTv,"""French Montana"""
6fWVd57NKTalqvmjRd2t8Z,"""24kGoldn"""
7CajNmpbOovFoOoasH2HaY,"""Calvin Harris"""
20JZFwl6HVl6yg8a4H3ZqK,"""Panic! At The Disco"""
2wY79sveU1sp5g7SokKOiI,"""Sam Smith"""
5WUlDfRSoLAfcVSX1WnrxN,"""Sia"""
5zctI4wO9XSKS8XwcnqEHk,"""Lil Mosey"""
4VMYDCV2IEDYJArk749S6m,"""Daddy Yankee"""
4ofCBoyEiGSePFAG500xev,"""Regard"""
7gOdHgIoIKoe4i9Tta6qdD,"""Jonas Brothers"""
3YQKmKGau1PzlVlkL1iodx,"""Twenty One Pilots"""
4iHNK0tOyZPYnBU7nGAgpQ,"""Mariah Carey"""
2qxJFvFYMEDqd7ui6kSAcq,"""Zedd"""
2cFrymmkijnjDg9SS92EPM,"""blackbear"""
0du5cEVh5yTK9QJze8zA0C,"""Bruno Mars"""
0QHgL1lAIqAw0HtD7YldmP,"""DJ Khaled"""
31TPClRtHm23RisEBtV3X7,"""Justin Timberlake"""
1vyhD5VmyZ7KMfW5gqLgo5,"""J Balvin"""
7vk5e3vY1uw9plTHJAMwjN,"""Alan Walker"""
2R21vXR83lH98kGeO99Y66,"""Anuel Aa"""
6VuMaDnrHyPL1p4EHjYLi7,"""Charlie Puth"""
1l8Fu6IkuTP0U5QetQJ5Xt,"""Fifth Harmony"""
1RyvyyTE3xzB2ZywiAwp0i,"""Future"""
25u4wHJWxCA9vO0CzxAbK7,"""Lukas Graham"""
5LHRHt1k9lMyONurDHEdrp,"""Tyga"""
56mfhUDKa1vec6rSLZV5Eg,"""Jawsh 685"""
64M6ah0SkkRsnPGtGiRAbb,"""Bebe Rexha"""
4q3ewBCX7sLwd24euuV69X,"""Bad Bunny"""
4QVBYiagIaa6ZGSPMbybpy,"""Pedro CapÃ³"""
3Nrfpe0tUJi4K4DXYWgMUX,"""BTS"""
5ZsFI1h6hIdQRw2ti0hz81,"""ZAYN"""
5cj0lLjcoR7YOSnhnX0Po5,"""Doja Cat"""
3v6Ji4uoWtKRkhuDUaxi9n,"""Dynoro"""
6MDME20pz9RveH9rEXvrOM,"""Clean Bandit"""
4dpARuHxo51G3z768sgnrY,"""Adele"""
23fqKkggKUBHNkbKtXEls4,"""Kygo"""
4Ga1P7PMIsmqEZqhYZQgDo,"""Lil Tecca"""
5pKCCKE2ajJHZ9KAiaK11H,"""Rihanna"""
2FXC3k01G6Gw61bmprjgqS,"""Hozier"""
1zNqDE7qDGCsyzJwohVaoX,"""Anne-Marie"""
5H1nN1SzW0qNeUEZvuXjAj,"""Danny Ocean"""
0u6GtibW46tFX7koQ6uNJZ,"""Topic"""
4xRYI6VqpkE3UwrDrAZL8L,"""Logic"""
6MPCFvOQv5cIGfw3jODMF0,"""Internet Money"""
1r4hJ1h58CWwUQe3MxPuau,"""Maluma"""
7pFeBzX627ff0VnN6bxPR4,"""Desiigner"""
6USMTwO0MNDnKte5a5h0xx,"""Y2K"""
7dGJo4pcD2V6oG8kP0tJRR,"""Eminem"""
6LuN9FCkKOj5PcnpouEgny,"""Khalid"""
3hv9jJF3adDNsBSIQDqcjp,"""Mark Ronson"""
0C8ZW7ezQVs4URX5aX7Kqx,"""Selena Gomez"""
60d24wfXkVzDSfLS6hyCjZ,"""Martin Garrix"""
5hdhHgpxyniooUiQVaPxQ0,"""Nio Garcia"""
1yxSLGMDHlW21z4YXirZDS,"""The Black Eyed Peas"""
02kJSzxNuaWGqwubyUba0Z,"""G-Eazy"""
5lpH0xAS4fVfLkACg9DAuM,"""Wham!"""
07YZf4WDAMNwqr4jfgOZ8y,"""Jason Derulo"""
4TEJudQY2pXxVHPE3gD2EU,"""BlocBoy JB"""
1McMsnEElThX1knmY4oliG,"""Olivia Rodrigo"""
1Xylc3o4UrD53lo9CvFvVg,"""Zara Larsson"""
0EFisYRi20PTADoJrifHrz,"""Jhay Cortez"""
6T5tfhQCknKG4UnH90qGnz,"""DNCE"""
0xRXCcSX89eobfrshSVdyu,"""MEDUZA"""
0eDvMgVFoNV3TpwtrVCoTj,"""Pop Smoke"""
5p7f24Rk5HkUZsaS3BLG5F,"""Hailee Steinfeld"""
0ZED1XzwlLHW4ZaG4lOT6m,"""Julia Michaels"""
66W9LaWS0DPdL7Sz8iYGYe,"""JP Saxe"""
6DgP9otnZw5z6daOntINxp,"""Joel Corry"""
1HxJeLhIuegM3KgvPn8sTa,"""Jack Ãœ"""
20sxb77xiYeusSH8cVdatc,"""Meek Mill"""
2XnBwblw31dfGnspMIwgWz,"""Axwell"""
6S2OmqARrzebs0tKUEyXyp,"""Demi Lovato"""
6l3HvQ5sa6mXTsMTB19rO5,"""J. Cole"""
4rTv3Ejc7hKMtmoBOK1B4T,"""Ali Gatie"""
4kI8Ie27vjvonwaB2ePh8T,"""Portugal. The Man"""
6t1gpxYbY8OlLA7D2RiikQ,"""Loud Luxury"""
1HBjj22wzbscIZ9sEb5dyf,"""Jonas Blue"""
5pUo3fmmHT8bhCyHE52hA6,"""Liam Payne"""
45dkTj5sMRSjrmBSBeiHym,"""Tate McRae"""
1lmU3giNF3CSbkVSQmLpHQ,"""Surf Mesa"""
56oDRnqbIiwx4mymNEv7dS,"""Lizzo"""
6fOMl44jA4Sp5b9PpYCkzz,"""NF"""
4ETSs924pXMzjIeD6E9b4u,"""Surfaces"""
4WN5naL3ofxrVBgFpguzKo,"""Rudimental"""
5IH6FPUwQTxPSXurCrcIov,"""Alec Benjamin"""
7z5WFjZAIYejWy0NI5lv4T,"""Dan + Shay"""
137W8MRPWKqSmrBGDBFSop,"""Wiz Khalifa"""
1SupJlEpv7RS2tPNRaHViT,"""Nicky Jam"""
3iri9nBFs9e4wN7PLIetAw,"""gnash"""
0gadJ2b9A4SKsB1RFkBb66,"""Passenger"""
46SHBwWsqBkxI7EeeBEQG7,"""Kodak Black"""
4GvEc3ANtPPjt1ZJllr5Zl,"""Bazzi"""
4DdkRBBYG6Yk9Ka8tdJ9BW,"""Offset"""
5Pwc4xIPtQLFEnJriah9YJ,"""OneRepublic"""
02A3cEvlLLCbIMVDrK2GHV,"""Starley"""
3t5xRXzsuZmMDkQzgOX35S,"""Robin Schulz"""
1vCWHaC5f2uS3yhpwWbIA6,"""Avicii"""
10exVja0key0uqUkk6LJRT,"""Vance Joy"""
5f7VJjfbwm532GiveGC0ZK,"""Lil Baby"""
1URnnhqYAYcrqrcwql10ft,"""21 Savage"""
3vQ0GE3mI0dAaxIMYe5g7z,"""Paulo Londra"""
73sIBHcqh3Z3NyqHKZ7FOL,"""Childish Gambino"""
2RDOrhPqAM4jzTRCEb19qX,"""Sheck Wes"""
0Cp8WN4V8Tu4QJQwCN5Md4,"""BENEE"""
1Cs0zKBU1kc0i8ypK3B9ai,"""David Guetta"""
1MIVXf74SZHmTIp4V4paH4,"""Mabel"""
4Uc8Dsxct0oMqx0P6i60ea,"""Conan Gray"""
0EmeFodog0BfCgMzAIvKQp,"""Shakira"""
47MpMsUfWtgyIIBEFOr4FE,"""Lunay"""
7bXgB6jMjp9ATFy66eO08Z,"""Chris Brown"""
6PXS4YHDkKvl1wkIl4V8DL,"""Fetty Wap"""
0X2BH1fck6amBIoJhDVmmJ,"""Ellie Goulding"""
1i8SpTcr7yvPOmcqrbnVXY,"""Ozuna"""
1GxkXlMwML1oSg5eLPiAz3,"""Michael BublÃ©"""
7gZfnEnfiaHzxARJ2LeXrf,"""6ix9ine"""
6oMuImdp5ZcFhWP0ESe6mG,"""Migos"""
7ltDVBr6mKbRvohxheJ9h1,"""ROSALÃA"""
7iZtZyCzp3LItcw1wtPI3D,"""Rae Sremmurd"""
2DaxqgrOhkeH0fpeiQq2f4,"""Oasis"""
2o5jDhtHVPhrJdv3cEQ99Z,"""TiÃ«sto"""
2cPqdH7XMvwaBJEVjheH8g,"""Jay Wheeler"""
1GDbiv3spRmZ1XdM1jQbT7,"""Natti Natasha"""
4qIVPF0s71ZYW3qzhu5GkF,"""Kina"""
5MouCg6ta7zAxsfMEbc1uh,"""OMI"""
2PaZWGu5T5nHjY2xxAkFsT,"""THE SCOTTS"""
