,index,spotify_artist_id,list_original_name,music_story_id,instagram_url,instagram_username,facebook_url,facebook_username,twitter_url,twitter_username,instagram_followers,instagram_data
73,74,4QVBYiagIaa6ZGSPMbybpy,"""Pedro CapÃ³""",122525,,,,,,,-1,
77,78,3v6Ji4uoWtKRkhuDUaxi9n,"""Dynoro""",4714368,,,,,,,-1,
79,80,4dpARuHxo51G3z768sgnrY,"""Adele""",6345,,,,,,,-1,
84,85,1zNqDE7qDGCsyzJwohVaoX,"""Anne-Marie""",4640279,http://instagram.com/annemarieiam,annemarieiam,,,,,-1,
85,86,5H1nN1SzW0qNeUEZvuXjAj,"""Danny Ocean""",,,,,,,,-1,
87,88,4xRYI6VqpkE3UwrDrAZL8L,"""Logic""",131085,,,,,,,-1,
88,89,6MPCFvOQv5cIGfw3jODMF0,"""Internet Money""",4731658,,,,,,,-1,
91,92,6USMTwO0MNDnKte5a5h0xx,"""Y2K""",4724891,,,,,,,-1,
92,93,7dGJo4pcD2V6oG8kP0tJRR,"""Eminem""",,,,,,,,-1,
96,97,60d24wfXkVzDSfLS6hyCjZ,"""Martin Garrix""",4517849,,,,,,,-1,
97,98,5hdhHgpxyniooUiQVaPxQ0,"""Nio Garcia""",,,,,,,,-1,
100,101,5lpH0xAS4fVfLkACg9DAuM,"""Wham!""",100340,,,,,,,-1,
101,102,07YZf4WDAMNwqr4jfgOZ8y,"""Jason Derulo""",,,,,,,,-1,
102,103,4TEJudQY2pXxVHPE3gD2EU,"""BlocBoy JB""",,,,,,,,-1,
103,104,1McMsnEElThX1knmY4oliG,"""Olivia Rodrigo""",,,,,,,,-1,
110,111,0ZED1XzwlLHW4ZaG4lOT6m,"""Julia Michaels""",,,,,,,,-1,
113,114,1HxJeLhIuegM3KgvPn8sTa,"""Jack Ãœ""",4561304,,,,,,,-1,
115,116,2XnBwblw31dfGnspMIwgWz,"""Axwell""",4561537,,,,,,,-1,
117,118,6l3HvQ5sa6mXTsMTB19rO5,"""J. Cole""",117543,,,,,,,-1,
121,122,1HBjj22wzbscIZ9sEb5dyf,"""Jonas Blue""",4633409,,,,,,,-1,
123,124,45dkTj5sMRSjrmBSBeiHym,"""Tate McRae""",,,,,,,,-1,
124,125,1lmU3giNF3CSbkVSQmLpHQ,"""Surf Mesa""",,,,,,,,-1,
128,129,4WN5naL3ofxrVBgFpguzKo,"""Rudimental""",4484061,,,,,,,-1,
134,135,0gadJ2b9A4SKsB1RFkBb66,"""Passenger""",146038,,,,,,,-1,
135,136,46SHBwWsqBkxI7EeeBEQG7,"""Kodak Black""",4614485,,,,,,,-1,
145,146,3vQ0GE3mI0dAaxIMYe5g7z,"""Paulo Londra""",,,,,,,,-1,
